employee_id,department,salary,tenure,attrition
E001,Engineering,95000,3.5,No
E002,Marketing,68000,7.0,No
E003,Sales,72000,2.5,Yes
E004,HR,55000,5.0,No
E005,Finance,88000,8.5,No
E006,Operations,61000,1.5,Yes
E007,Engineering,112000,6.0,No
E008,Marketing,74000,4.5,No
E009,Sales,65000,1.0,Yes
E010,HR,52000,9.0,No
E011,Finance,94000,3.0,No
E012,Operations,58000,2.0,No
E013,Engineering,105000,7.5,No
E014,Marketing,71000,5.5,No
E015,Sales,78000,4.0,No
E016,HR,57000,6.5,No
E017,Finance,99000,11.0,No
E018,Operations,64000,3.5,Yes
E019,Engineering,118000,9.0,No
E020,Marketing,76000,2.0,No
E021,Sales,69000,1.5,Yes
E022,HR,53000,4.0,No
E023,Finance,85000,7.0,No
E024,Operations,60000,0.5,Yes
E025,Engineering,98000,5.0,No
E026,Marketing,69000,8.0,No
E027,Sales,75000,3.0,No
E028,HR,56000,2.5,No
E029,Finance,91000,6.0,No
E030,Operations,63000,4.5,No
E031,Engineering,108000,8.5,No
E032,Marketing,72000,1.5,Yes
E033,Sales,67000,2.0,No
E034,HR,58000,7.5,No
E035,Finance,96000,4.0,No
E036,Operations,59000,1.0,Yes
E037,Engineering,125000,12.0,No
E038,Marketing,77000,6.0,No
E039,Sales,70000,3.5,No
E040,HR,54000,5.5,Yes
E041,Finance,89000,9.5,No
E042,Operations,62000,2.5,No
E043,Engineering,115000,10.0,No
E044,Marketing,73000,3.0,No
E045,Sales,76000,5.0,No
E046,HR,55000,1.5,No
E047,Finance,93000,8.0,No
E048,Operations,65000,6.5,No
E049,Engineering,102000,4.5,No
E050,Marketing,70000,2.0,Yes
