date,product,region,revenue,units
2024-01-03,Laptop,North,1299.99,1
2024-01-07,Phone,East,749.99,3
2024-01-12,Tablet,South,449.99,2
2024-01-15,Monitor,West,329.99,4
2024-01-18,Keyboard,Central,79.99,10
2024-01-22,Mouse,North,49.99,15
2024-01-25,Headphones,East,199.99,5
2024-01-30,Webcam,South,89.99,8
2024-02-04,Laptop,West,1399.99,2
2024-02-08,SSD,Central,129.99,7
2024-02-12,Phone,North,899.99,2
2024-02-15,Tablet,East,399.99,3
2024-02-19,Printer,South,249.99,2
2024-02-23,Monitor,West,379.99,3
2024-02-27,Keyboard,Central,89.99,12
2024-03-04,Mouse,North,59.99,18
2024-03-08,Headphones,East,249.99,4
2024-03-12,Webcam,South,99.99,6
2024-03-15,Laptop,West,1149.99,1
2024-03-19,SSD,Central,149.99,9
2024-03-23,Phone,North,649.99,4
2024-03-27,Tablet,East,479.99,2
2024-04-02,Printer,South,199.99,3
2024-04-06,Monitor,West,349.99,5
2024-04-10,Keyboard,Central,69.99,14
2024-04-14,Mouse,North,44.99,20
2024-04-18,Headphones,East,179.99,6
2024-04-22,Webcam,South,79.99,9
2024-04-26,Laptop,West,1499.99,3
2024-04-30,SSD,Central,109.99,11
2024-05-05,Phone,North,799.99,3
2024-05-09,Tablet,East,529.99,2
2024-05-13,Printer,South,279.99,1
2024-05-17,Monitor,West,399.99,4
2024-05-21,Keyboard,Central,74.99,13
2024-05-25,Mouse,North,54.99,17
2024-05-29,Headphones,East,219.99,5
2024-06-02,Webcam,South,94.99,7
2024-06-06,Laptop,West,1349.99,2
2024-06-10,SSD,Central,139.99,8
2024-06-14,Phone,North,699.99,4
2024-06-18,Tablet,East,419.99,3
2024-06-22,Printer,South,229.99,2
2024-06-26,Monitor,West,359.99,5
2024-06-30,Keyboard,Central,84.99,11
2024-07-04,Mouse,North,47.99,16
2024-07-08,Headphones,East,239.99,4
2024-07-12,Webcam,South,84.99,8
2024-07-16,Laptop,West,1199.99,2
2024-07-20,SSD,Central,119.99,10
